Fold	c	f_score
fold-1	4.0	0.297284421153
fold-2	4.0	0.232518232518
fold-0	4.1	0.283507496592
fold-1	4.1	0.297284421153
fold-2	4.1	0.232518232518
fold-0	4.2	0.283507496592
fold-1	4.2	0.297284421153
fold-2	4.2	0.232518232518
fold-0	4.3	0.283507496592
fold-1	4.3	0.297142857143
fold-2	4.3	0.232518232518
fold-0	4.4	0.283507496592
fold-1	4.4	0.297284421153
fold-2	4.4	0.232518232518
fold-0	4.5	0.283507496592
fold-1	4.5	0.297142857143
fold-2	4.5	0.232518232518
fold-0	4.6	0.283507496592
fold-1	4.6	0.297142857143
fold-2	4.6	0.232518232518
fold-0	4.7	0.283507496592
fold-1	4.7	0.297142857143
fold-2	4.7	0.232518232518
fold-0	4.8	0.283507496592
fold-1	4.8	0.297142857143
fold-2	4.8	0.232518232518
fold-0	4.9	0.283507496592
fold-1	4.9	0.297142857143
fold-2	4.9	0.232518232518
fold-0	5.0	0.283507496592
fold-1	5.0	0.297142857143
fold-2	5.0	0.232518232518
fold-0	5.1	0.283507496592
fold-1	5.1	0.297953355545
fold-2	5.1	0.232518232518
fold-0	5.2	0.284287011807
fold-1	5.2	0.297142857143
fold-2	5.2	0.232518232518
fold-0	5.3	0.284416174466
fold-1	5.3	0.297142857143
fold-2	5.3	0.232518232518
fold-0	5.4	0.284416174466
fold-1	5.4	0.297142857143
fold-2	5.4	0.232518232518
fold-0	5.5	0.284416174466
fold-1	5.5	0.297142857143
fold-2	5.5	0.232518232518
fold-0	5.6	0.284287011807
fold-1	5.6	0.297142857143
fold-2	5.6	0.232518232518
fold-0	5.7	0.284157966409
fold-1	5.7	0.297953355545
fold-2	5.7	0.232518232518
fold-0	5.8	0.284157966409
fold-1	5.8	0.297142857143
fold-2	5.8	0.232518232518
fold-0	5.9	0.284287011807
fold-1	5.9	0.297669995245
fold-2	5.9	0.232518232518
fold-0	6.0	0.284287011807
fold-1	6.0	0.298479087452
fold-2	6.0	0.232518232518
fold-0	6.1	0.284287011807
fold-1	6.1	0.297669995245
fold-2	6.1	0.232518232518
fold-0	6.2	0.284287011807
fold-1	6.2	0.298479087452
fold-2	6.2	0.232518232518
fold-0	6.3	0.284157966409
fold-1	6.3	0.297669995245
fold-2	6.3	0.232518232518
fold-0	6.4	0.284157966409
fold-1	6.4	0.298479087452
fold-2	6.4	0.232518232518
fold-0	6.5	0.284157966409
fold-1	6.5	0.298479087452
fold-2	6.5	0.232518232518
fold-0	6.6	0.283771532185
fold-1	6.6	0.299287410926
fold-2	6.6	0.232518232518
fold-0	6.7	0.284157966409
fold-1	6.7	0.299287410926
fold-2	6.7	0.2323189027
fold-0	6.8	0.283771532185
fold-1	6.8	0.299287410926
fold-2	6.8	0.2323189027
fold-0	6.9	0.283771532185
fold-1	6.9	0.298479087452
fold-2	6.9	0.2323189027
fold-0	7.0	0.283771532185
fold-1	7.0	0.299287410926
fold-2	7.0	0.2323189027
fold-0	7.1	0.283642954237
fold-1	7.1	0.299287410926
fold-2	7.1	0.2323189027
fold-0	7.2	0.283642954237
fold-1	7.2	0.298621017594
fold-2	7.2	0.2323189027
fold-0	7.3	0.284157966409
fold-1	7.3	0.299287410926
fold-2	7.3	0.2323189027
fold-0	7.4	0.283771532185
fold-1	7.4	0.299287410926
fold-2	7.4	0.2323189027
fold-0	7.5	0.283642954237
fold-1	7.5	0.299287410926
fold-2	7.5	0.2323189027
fold-0	7.6	0.283771532185
fold-1	7.6	0.299287410926
fold-2	7.6	0.2323189027
fold-0	7.7	0.283514492754
fold-1	7.7	0.299287410926
fold-2	7.7	0.2323189027
fold-0	7.8	0.283642954237
fold-1	7.8	0.299287410926
fold-2	7.8	0.2323189027
fold-0	7.9	0.283771532185
fold-1	7.9	0.299145299145
fold-2	7.9	0.2323189027
fold-0	8.0	0.283771532185
fold-1	8.0	0.299287410926
fold-2	8.0	0.2323189027
fold-0	8.1	0.283642954237
fold-1	8.1	0.299287410926
fold-2	8.1	0.2323189027
fold-0	8.2	0.283514492754
fold-1	8.2	0.299287410926
fold-2	8.2	0.2323189027
fold-0	8.3	0.283514492754
fold-1	8.3	0.299287410926
fold-2	8.3	0.233076263925
fold-0	8.4	0.283514492754
fold-1	8.4	0.299287410926
fold-2	8.4	0.233076263925
fold-0	8.5	0.283642954237
fold-1	8.5	0.299287410926
fold-2	8.5	0.233076263925
fold-0	8.6	0.283642954237
fold-1	8.6	0.299145299145
fold-2	8.6	0.233076263925
fold-0	8.7	0.283642954237
fold-1	8.7	0.299287410926
fold-2	8.7	0.233076263925
fold-0	8.8	0.283642954237
fold-1	8.8	0.299145299145
fold-2	8.8	0.233076263925
fold-0	8.9	0.283642954237
fold-1	8.9	0.299429657795
fold-2	8.9	0.233076263925
fold-0	9.0	0.283642954237
fold-1	9.0	0.299145299145
fold-2	9.0	0.233076263925
fold-0	9.1	0.283642954237
fold-1	9.1	0.299145299145
fold-2	9.1	0.233076263925
fold-0	9.2	0.283642954237
fold-1	9.2	0.299429657795
fold-2	9.2	0.233076263925
fold-0	9.3	0.283642954237
fold-1	9.3	0.299810246679
fold-2	9.3	0.233076263925
fold-0	9.4	0.283514492754
fold-1	9.4	0.299429657795
fold-2	9.4	0.233076263925
fold-0	9.5	0.283642954237
fold-1	9.5	0.299287410926
fold-2	9.5	0.233076263925
fold-0	9.6	0.283514492754
fold-1	9.6	0.299145299145
fold-2	9.6	0.233076263925
fold-0	9.7	0.283642954237
fold-1	9.7	0.299145299145
fold-2	9.7	0.233076263925
fold-0	9.8	0.283642954237
fold-1	9.8	0.299145299145
fold-2	9.8	0.233076263925
fold-0	9.9	0.283386147578
fold-1	9.9	0.299810246679
fold-2	9.9	0.233076263925
fold-0	10.0	0.283642954237
fold-1	10.0	0.299145299145
fold-2	10.0	0.233076263925
fold-0	10.1	0.283771532185
fold-1	10.1	0.299287410926
fold-2	10.1	0.233076263925
fold-0	10.2	0.283514492754
fold-1	10.2	0.299145299145
fold-2	10.2	0.233076263925
fold-0	10.3	0.282864913871
fold-1	10.3	0.299145299145
fold-2	10.3	0.233076263925
fold-0	10.4	0.283642954237
fold-1	10.4	0.299145299145
fold-2	10.4	0.233076263925
fold-0	10.5	0.282736746715
fold-1	10.5	0.299145299145
fold-2	10.5	0.234589041096
fold-0	10.6	0.283771532185
fold-1	10.6	0.299810246679
fold-2	10.6	0.234589041096
fold-0	10.7	0.283514492754
fold-1	10.7	0.299145299145
fold-2	10.7	0.233076263925
fold-0	10.8	0.282736746715
fold-1	10.8	0.299810246679
fold-2	10.8	0.233076263925
fold-0	10.9	0.282864913871
fold-1	10.9	0.299145299145
fold-2	10.9	0.233076263925
fold-0	11.0	0.282993197279
fold-1	11.0	0.299145299145
fold-2	11.0	0.233076263925
fold-0	11.1	0.282736746715
fold-1	11.1	0.299145299145
fold-2	11.1	0.234589041096
fold-0	11.2	0.282864913871
fold-1	11.2	0.299145299145
fold-2	11.2	0.234589041096
fold-0	11.3	0.282608695652
fold-1	11.3	0.299145299145
fold-2	11.3	0.233076263925
fold-0	11.4	0.282736746715
fold-1	11.4	0.299145299145
fold-2	11.4	0.233076263925
fold-0	11.5	0.282480760525
fold-1	11.5	0.299810246679
fold-2	11.5	0.234589041096
fold-0	11.6	0.282736746715
fold-1	11.6	0.299810246679
fold-2	11.6	0.233076263925
fold-0	11.7	0.283642954237
fold-1	11.7	0.300473933649
fold-2	11.7	0.234589041096
fold-0	11.8	0.282864913871
fold-1	11.8	0.300473933649
fold-2	11.8	0.234589041096
fold-0	11.9	0.282736746715
fold-1	11.9	0.300473933649
fold-2	11.9	0.234589041096
fold-0	12.0	0.282736746715
fold-1	12.0	0.300473933649
fold-2	12.0	0.233076263925
fold-0	12.1	0.282736746715
fold-1	12.1	0.301136363636
fold-2	12.1	0.234589041096
fold-0	12.2	0.283386147578
fold-1	12.2	0.301797540208
